username,full_text
NoturHabibtiiii,sumpah pls gimana cara guru honorer tuh gaji padan bulan terus dapat thr huhu sedih banget padahal berat kerja cuma ngajarin murid
inmydnaaaa,heran sama guru honorer janji apa rela sampai tetap tahan gaji segitu terus gimana ngatur uang
Mbull28748201,tau gaji guru honorer masih muda cara pikir kaya cetak 70an
RossyBmba46,guys jurus didik buruk kan yah iya emang gaji guru honorer dikit kan bakal seleksi cpns lain dan semua jenjang tahap tidak langsung sukses banget gitu loh
twooneputry,kasi sumpah ada kelar nya polemik gaji guru honorer tani nelayan ayo siapa presiden bisa sejahtera 3 profesi tiga profesi pondasi utama dalam negara ibarat bangun turut
Fikfinicky990,bakal kejang kejang kali tau gaji guru honorer 500 ribu bulan ni napak tanah banget liat arogansi sama sekali tidak pernah ngobrol sama kang cilok kang siomay
wooseokyeochin,1 semua guru asn pppk 2 semua guru honorer provinsi 3 semua guru bayar umr kabupaten kota 4 semua guru beri uang tambah kerja tambah 5 semua guru gang lain tambah gaji sisa bayar jam 100 ribu bulan jam ajar
wooeongie,benar jika guru honorer swasta ajak juang dapat hak demo naik gaji takut bahkan dibully guru juga
reeeiiinaaaaa,itu pasang capres cawapres pilih kan begini sampe pas tau gaji guru honorer rendah kaget
nutrisaripandan,tidak beli guru honorer gaji mana uang kan bayar gaji guru honorer
fitafibriani,ya indonesia dulu nyerah negara inggris belanda gitu ujung cuma jadi buruh ini indonesia yang megang belanda minimal gaji buruh rendah 2 digit ni tidak itu gaji nila guru honorer
a_wintersoltice,guru honorer gaji 300 sd 400 ribu bulan
hanandaurf,tiap daerah gaji guru honorer karna gaji guru honorer kan ambil dana bos sekarang perintah ngelarang rekrut guru honorer baru solusi sekarang guru ikut seleksi asn pppk gaji tara kaya pns
sedangmumet_,yogyakarta sekolah swasta jumlah murid dari imbas sekolah kurang pasu biaya operasional bayar gaji guru layak guru honorer sekolah bayar rupiah 20 ribu satu jam ajar bila akumulasi gaji orang
ANorman149750,gaji guru honorer loh harus diperhatiin tuh sih
bukan4non,gaji guru 200 ribu bulan gaji guru honorer sesuai jam ajar ajar bulan
shandrav_,allah kasihan banget lihat semua guru honorer indonesia gara-gara masalah gaji tunjang saudara guru honorer terus kasih tau gaji gaakan cair lama 3 bulan thr ada gila kira tidak butuh biaya hidup
cosmichailey,sekprov malu utara pasti tunggak gaji guru honorer bayar
Andinaja8,ingat naik gaji guru honorer sesuai umk minimal 2 juta andai umk nya rendah tetap yang 2 juta bulan nya
sibuzyii,layak tau gaji itu rendah padahal orang sangat butuh nyokap guru swasta alhamdulillah gaji masuk juta jauh bawah umr kota apa lihat tweet guru bayar 500 ribu bahkan layak 200 an utama honorer
6uckerforpain,sekarang cuma guru pelosok sama honorer gaji kecil justru biasa mereka lebih tulus effortnya lebih murid banyak guru sekarang cukup sejahtera mostly dmi gaji lebih fokus sertifikasi itu seminar ono ngajar ala kadar yang penting target aja
Jungwoo16794723,kakak gaji full kayak maaf honorer guru 24 juta lumayan loh jogja tempat banyak dinas luar kalau bulan 2 berangkat bisa dapet tambah 2 lipat gaji kalau dulu suka ikut jarang banget ikut kerja cuman mau uang kerja mau
cinnamuorolls,sekian debat gaji guru baru sekali nemu dapat snang mas generasi lihat pov tidak satu sisi fakta memang hal atas buat guru honorer gaji yang tidak manusiawi
boombolonee,momen guru honorer menang akhir dapat gaji sertifikasi sorot pasal tujuh nanti kini gaji sertifikasi bayar terima hak
weonjonwooo,kadikbud malu utara janji tetap juang gaji guru honorer belum bayar
RakaiXavier,memang niat guru honorer ngabdi ngapain ribut masalah gaji tidak kuat ngapain maksa
nurika169,aduh tega liat bapak 20 lebih guru honorer misal gabisa dapet gaji gede minimal kasih jamin sejahtera biar pas sudah saat pensiun tetap hidup layak kaya pensiun asn
siomayjoget,gaji guru honorer 2 juta mas beneranapa dar janji
fusahima,yah begini nasib guru honorer gaji bulan bagi dikembaliin sekolah sekarang gaji pemda potong disdik camat
lilylylilac,memang fakta semua dapet tunjang semua punya mobil 2 jadi honorer yang aku beli cuman makan guru dibutuhin diludahin gaji tidak sesuai tanggung
ladyschon,mantan guru honorer tahun tau betapa sangat zolimi negri lagi gaji 3 bulan sekali sering kena potong sama biaya butuh sekolah thr cuma ngandelin yayasan uang lebih ada
wtermelonsgar_,i ll say once and i ll say often berapa kali kurikulum ganti didik mana ajar tidak beri sejahtera layak guru honorer hak pasti kerja gaji layak
Hamdiirawan17,tahu guru honorer gaji under 800 ribu gemeter lihat tweet
aruoian,dari lombok memang gaji guru tuh kecil dan derita sana bahkan sepuh banyak honorer miris banget dulu lihat guru yang sepuh pake motor butut sekolah jual es mambo and hurt me so bad kelar ngajar juga dia langsung ngarit
afinyulia,rokok 48 ribu bungkus hari bulan hampir 15 juta ngerokok tak kenal cuti sama tanggal merah ngalah ngalahi gaji guru honorer hanya 300 ribu 1 okok hidup 5 guru honorer hebat kan okok
irkhamdwi10,guru pns gaji tunjang bagus guru sekolah internasional yang sedih kan gaji guru honorer jelas anggar kaya guru nama bidang didik pasti tidak akan kaya usaha atau pegawai corporate raksasa
MKyoStarlight,usia tua honorer gimana yaaku sma sekali paham pns guru perintah tuh naikin gaji guru honorer jangan gaji jabat
Berryruby5,lihat gaji guru honorer deh
JKT48asa,ppg bro guru lewat ppg jadi honorer gaji kecil
thilunatic,guru swasta gaji kecil sender emang si kecil honorer guru bener kerja serius gaji main
honeyijams,mau jadi guru honorer kan enak orang suruh kerja gaji minim retorika gaji naik mau nunggu kapan
urbbyruto,tertawa banding sekolah swasta negeri berapa banyak banding asn honorer berapa banyak guru jakarta luar jakarta berapa banyak guru cuma ketemu murid gaji kecil mana korupsi itu paling lagi banyak utang lampias murid
mensobarna,sender asn mobil innova reborn anak kuliah top ten doi bapak juragan tebu terus terus terus tidak gitu punya sawah puluh tempat orang mandang gaji guru rendah aku guru honorer seko kabupaten gaji 200 ribu
zxfffrr,padahal gede gaji kuliah timbang sing guru honorer
kopigulaarenx,btw gaji suami guru honorer cuma 11 ada anak 1 bom beli susu diaper jajan anak belum nafas untuk tabung rekreasi tua mau mau ikut kerja gaji di bawah umr karena kerja susah banget cari atas umr
IamHelen22,kamu lihat guru pns nya lihat honorer nya gaji pns sama honorer bagai langit sama bumi
biazn_,harus kuliah terus dosen ganti cuman segitu yang dosen honorer guru kuliah cuman sekali paling banter 2 kali mau kelapa sekolah memang banyak guru honorer gaji cuman segitu bahkan lebih rendah apa yang tua
thesassyo,bukan ngerendahin memang gaji guru tuh kecil apa kalau guru sd sama tk tk dekat rumah guru gaji 50 ribu kalau asn kalau honorer kecil banget tembus guru sekolah swasta bagus gaji bisa gede
agata_sefila,naikin gaji guru honorer teriak
