username,full_text
yosep_far,yang percaya ya ada orang guru honorer smp ngajar bahasa indonesia gaji 1 1 juta terus malam jaga malam kantor ob gaji 2 6 juta biar hidup mesti double job siang malam biar hidup layak ngandelin gaji guru honorer bakal mepet sekali
cuttiepies_,memang rendah bayangin masa abdi honorer 12 telah angkat gaji bulan cuma 3 5 juta mengcover biaya biaya sudah dikeluarin masih honor gaji 200 ribu buk lagi tugas guru tuh berat kamu lihat bandingin itu sama gaji guru negara
prplbtss,kecil tuh honorer banding kerja yang sama honor bukan guru gaji lebih gede si guru honorer
snowiesh,jawab sama mf sendiri sih sender asn mau gaji jamin masalah asn tidak mudah dan banyak guru kan memang honorer ya
yourflowerhanna,1 semua guru asn pppk 2 semua guru honorer provinsi 3 semua guru bayar umr kabupaten kota 4 semua guru beri uang tambah kerja tambah 5 semua guru gang lain tambah gaji sisa bayar jam 100 ribu bulan jam ajar
veypranne,fakta sender mama ku guru honorer gaji bulan cuma 150 ribu 200 ribu itu kadang bayar
litaaja,guru satu asn hal tunjang hal lagi guru sekolah negeri sekolah swasta status asn honorer p3k kotrak tetap karyawan tetap tunjang sertifikasi tidak semua guru ikut ppg bom bisa gaji variatif
kaazellika_,fatkanya semua gaji guru tinggi banyak rendah apa honorer
sparkloeeey,kalau asn sekarang asn guru ribet guru honorer mah kesi kamu bayangin kuliah mahal s1 gaji 300 800 ribu bulan jobdesk sama bahkan lebih banyak asn beban moral masyarakat orang tua siswa banyak banding sama buruh lulus sma gaji umr protes percuma
Lhopitals_,memang fakta gitu sender contoh lihat slip gaji honorer seucrit gitu buat hari mau guru
wooaffi,sumpah gaji guru emang sedikit ya apa swasta biasa gitu tempat umr 51 juta gaji guru honorer 800 ribu
jichening,sender tau biar dapet gaji bisa beli mobil guru jungkir balik ikut sertifikasi bagai bagai segmn susah fakta memang gaji guru banding sama beban kerja bom honorer
NHiyyihlight,guru honorer btw hampir semua guru honorer daerah memang gaji 10000 rupiah jam ajar bagi 6 jam cuma 60 ribu tuntut administrasi banyak tanggung buat didik anak berat kurikulum gonta ganti lain musingin gaji segitu
wanmesin,guru nyaman angkat pns sekarang pppk sedangakan guru honorer gaji gantung sekolah kota yang nyentuh 15 juta desa beda di desa gaji guru nyentuh 600 ribu sudah bagus ntah uang bos spp apa itu
daegbyu,semua guru langsung asn nder banyak guru guru honorer gaji nya maaf bilang tidak layak kerja nya serius dapet gaji nya becanda
hehe_ajadulu,1 banyak guru honorer gaji kadang rapel 3 bulan itu jatuh bulan kurang lebih 500 ribu bahkan kadang yang 300 ribu gantung potong bantu banget pas terima p3k gaji lebih baik kalau honor
Wassup123p,betul lewat tiktok alvi guru honorer paksa mulung gaji cukup
scaranauva,pandang cuma guru honorer sih jujur memang iya sih gaji guru belum asn tuh jangan hidup keluarga diri sendiri kadang cukup daftar asn saing bejibun syarat tidak mudah alias susah banget
aouwwdee_,tunjang apa apa kalau guru sekolah negeri bokap baru cerita kata punya kenal guru honorer gitu gaji cuma 180 bulan mau ngelamar sekolah yang swasta fakta mah sender
y00ngirlll,sender nyokap guru swasta gajih cuma 2 5 juta potong tabung bulan bersih cuma 1 5 juta tertawa gaji guru swasta honorer emang kecil banget teman kalau pns baru deh gaji lambung tinggi tertawa
kyungsooro,guru asn memang banyak tunjang kalau honorer emang gaji alakadarnya
Choose_anoy,guru honorer guru biasa guru asn akhir yang punya gaji ples tunjang
batas_ambang,negara konoha guru berat gaji honorer bulan 400 ribu beli laptop alat aga ajar spidol guru beli tidak heran guru bolos ngajar jadi tukang ojeg sudah pepet tagih pinjol
najaejae141402,tidak semua guru asn banyak guru honorer apa sekolah swasta sekolah bayar cuma 50-100 ribu bulan gaji guru 500-800 ribu bulan tunjang guru perintah rapel 3 bulan sekali terus guru di desa dalam juga banyak
ongesaranghae,semua guru asn yang honorer gaji manusiawi bahkan jarang gaji rapel bulan enggak manusiawi
__sasotya,usah denial gaji guru memang rendah asn tau asn sulit gimana apa sekarang maksimal usia buat daftar maksimal 35 bayangin usia atas dan honorer usah padahal padahal kalau tau fakta lapang
2ndepiphyllum_,loh memang nyata gaji guru tuh banyak apa sekitar lumayan banyak guru honorer mau mau bakal nganggep gaji guru berapa
MeungjiRoot,guru honorer maupun asn dapet gaji lembur sama gaji nyabarin anak tantrum soal kak bisa nyambi dilakuin
empingcoklat,gaji sudah sertifikasi sekolah bom sertif saya syukur kerja gaji memang paling kasihan guru honorer gaji mampu sekolah bulan 500 ribu dah tinggi tiap 3 bulan insentif pemda tetap saja beban ngajar sama gaji beda
aderr_,mamah papah alhamdulillah masuk guru gaji cukup tidak nutup mata di luar masih banyak banget guru gaji kecil apa honorer
Ruddytabooty69,sender tau tampol pakek sandal swallow mulut honorer gaji lebih parah pns iku gaji daerah masing masing punya mobil lain putar otak butuh penuh guru itu passion kerja layak semua
strongwolfie,real min guru honorer tuh gaji cuman ratus ribu kerja tumpuk dia semua syukur syukur bulan turun gaji sering gaji honorer cuman segitu lahap ama kepala sosial
